peri-appendicular red patches
    SymPathy                                                           2007-11-14 14:18:35
    M72260        BENIGN ANGIOFOLLIKUÄR HYPERPLASI
    M72280        ANGIOIMMUNOBLASTISK LYMFADENOPATI
    M72420        ADENOMATÖS HYPERPLASI
    M72425        ADENOMATÖS HYPERPLASI ATYPISK
    M72430        STROMAHYPERPLASI
    M72480        HYPERPLASI MIKROGLAND
    M72500        TALGKÖRTELHYPERPLASI
    M72530        KLARCELLSACANTHOM
    M72600        HYPERKERATOS
    M72610        KYRLES SJD
    M72710        AKANTOS
    M72750        SEBORRHOISK KERATOS
    M72790        ACROKERAT VERRUCIFORM HOPF
    M72820        LICHEN SPINULOSIS
    M72840        CORNU CUTANEUM
    M72850        SENIL KERATOS
    M72860        KERATOACANTHOM
    M72900        CHOLESTEATOM
    M72920        INVERT FOLLIK KERATOS
    M72930        KERATOSIS PALMOPLANTARIS
    M72940        POROKERATOSIS MIBELLI
    M73000        METAPLASI UNS
    M73050        METAPLASI OXYFILCELLS
    M73220        METAPLASI SKIVEPITEL
    M73225        METAPLASI SKIVEPIT ATYPISK
    M73300        METAPLASI GLANDULÄR
    M73320        INTESTINAL METAPLASI
    M73330        GASTRISK METAPLASI
    M73370        CYSTITIS CYSTICA
    m73380        ADENOM, NEFROGENT
    M73400        METAPLASI OSSEÖS
    M73410        MYOSITIS OSSIFICANS
    M73500        METAPLASI MYELOID
    M73600        METAPLASI BROSK
    M74000        DYSPLASI
    M74006        DYSPLASI LÄTT
    M74007        DYSPLASI MÅTTLIG
    M74008        DYSPLASI STARK
    M74030        PARAKERATOS
    M74040        XERODERMA PIGMENTOSUM
    M74060        ELASTOS PERF SERP
    M74200        ADENOS
    M74240        ADENOS, BLUNT DUCT
    M74300        CYSTISK DYSPLASI
    M74320        CYSTISK MASTOPATI
    M74400        ECTODERMALA DYSPLASIER
    M74410        ICHTYOS UNS
    M74440        DARIERS SJD
    M74450        WARTY DYSKERATOMA
    M74810        OSTEITIS FIBROSA
    M74840        OSTEITIS FIBROSA CYSTICA
    M74850        ANGIODYSPLASI
    M74910        FIBRÖS DYSPLASI
    M74940        METAFYSÄR BENDEFEKT
    M74950        DYSPLASI FIBR MUSK
    M74970        PAGETS SJD BEN
    M74980        MELORHEOSTOSIS
    M75000        MOGNADSRUBBNING
    M75300        HYPOPLASI
    M75400        APLASI
    M75500        HAMARTOM
    M75730        ADENOMA SEBACEUM PRINGEL
    M75740        NEVUS VERRUCOSUS
    M75750        NEVUS SEBACEUS JADASSOHN
    M75900        HEMATOPOIETIC MOGNADSSTÖRNING
    M75950        MEGALOBLASTANEMI
    M76000        PROLIFERATION
    M76005        PROLIFERATION ATYPISK
    M76050        GLANDULÄR PROLIFERATION
    M76080        EPITEL PROLIFERATION
    M76085        EPITEL PROLIFERATION ATYPISK
    M76100        FIBROMATOS
    M76120        FIBROMAT DUPUYTRENS
    M76130        NODULÄR FASCIIT
    M76150        JUVENILT APONEUR FIBROM
    M76300        ANGIEKTASIER
    M76500        ENDOMETRIOS
    M76510        ADENOMYOS
    M76600        VERRUCA
    M76630        VERRUCA VULGARIS
    M76660        MOLLUSCUM CONTAGIOSUM
    M76700        CONDYLOM
    M76770        BOWENOID PAPULOS
    M76800        POLYP
    M76810        FIBROEPITELIAL POLYP
    M76820        INFLAM. PSEUDOTUMOR
    M76850        JÄTTECELLSEPULID
    M76900        POLYPOS
    M77500        SÄDESBLÅSA
    M77600        HÄMATOPOET CELLPROLIF
    M77610        LEUKEMOID REAKTION
    M77700        POLYCYTEMI UNS
    M77800        HISTIOCYTOS UNS
    M77810        SINUSHISTIOCYTOS
    M77860        EOSINOFILT GRANULOM BEN
    M77880        RETICULOHISTIOCYTOM
    M77910        HISTIOCYTOSIS X
    M77920        HAND-SCHÉLLER-CHRISTIAN
    M77940        SINUS HISTIOCYTOS MASSIV
    M78170        ATYPISK LYMFOCYT
    M78330        SFÄROCYTOS
    M79000        CYKLISK VÄVNADSFÖRÄNDR
    M79300        HORMONPÅVERKAN INKL P-PILLER
    M79310        PROLIFERATIONSSLH
    M79320        SEKRETIONS SLH
    M79330        MENSTRUATIONS SLH
    M79340        ANOVULATORISK SLH
    M79360        INAKTIV SLH
    M79370        ATROFISK MENOPAUSAL SLH
    M79410        GESTATIONS SLH
    M79430        ARIAS-STELLA
    M79440        HYPERSEKRETORISK SLH
    M79450        DYSFUNKTIONELL BLÖDN SLH
    M79500        DECIDUA VANDLING
    M79680        GRAVIDITETSLUTEOM
    M79900        REGENERATION
    M80000        BENIGN TUMÖR UNS
    M80001        MAL MISST TUMÖR UNS
    M80003        MAL TUMÖR UNS
    M80006        METASTAS UNS
    M80009        MAL TUMÖR PRIMÄR?
    M80016        METASTAS UNS
    M80021        SMÅCELL MAL TUMÖR MISST
    M80023        MALIGN TUMÖR SMÅCELLIG
    M80029        MALIGN TUMÖR SMÅCELLIG PRIMÄR?
    M80100        BENIGN EPIT TUMÖR
    M80101        CANCER MISST
    M80102        CANCER IN  SITU UNS
    M80103        CANCER UNS
    M80106        METASTAS CANCER
    M80109        CANCER PRIMÄR?
    M80121        MISSTANKE STORCELLIG CANCER
    M80123        STORCELLIG CA
    M80126        METASTAS STORCELLIG CA
    M80129        STORCELLIG CA PRIMÄR?
    M80401        TURMORLET
    M80411        SMÅCELLIG CA MISST
    M80413        SMÅCELLIG CA
    M80416        METASTAS SMÅCELL CA
    M80419        SMÅCELLIG CA PRIMÄR?
    M80513        CANCER VERRUCÖS
    M80520        SKIVEPITELPAPILLOM
    M80530        INVERTERAT PAPILLOM
    M80700        SKIVEPITELTUMÖR BENIGN
    M80701        SKIVEPITELCA MISST
    M80702        GRAV SKIVEP.DYSPLASI/ CIS
    M80703        SKIVEPITELCA
    M80706        METASTAS SKIVEPITELCA
    M80709        SKIVEP CA PRIMÄR?
    M80713        SKIVEPITELCA STORCELL FÖRHORN
    M80723        SKIVEPITELCA STORCELL ICKE FÖRHORN
    M80733        SKIVEPITELCA SMÅCELL
    M80762        SKIVEPITELCA M MISST MIKROINV
    M80763        SKIVEPITELCA MIKROINVASIV
    M80823        SKIVEPITELCA LÅGT DIFF LYMFOEPITELIOM
    M80826        METAS LÅGT DIFF SKIVEPCA"LYMFOEPITELIOM"
    M80901        BASALCELS CA MISST/BASALCELLSTUMÖR UNS
    M80903        BASALCELLSCA
    M80904        BASALCELLSCANCER, UTVIDGAD EXCISION
    M80906        METASTAS AV BASALCELLSCANCER
    M80907        BCC,TIDIGARE UNDERSÖKT OCH KLASSIFICERAD
    M80913        BASALIOM, SUPERFICIELLT
    M80933        FIBROEPITELIOMA PINKUS
    M80943        BASALOID SQUAMOUS CELL CARCINOMA
    M80953        METATYPISK CA
    M80956        METASTAS METATYPISK CANCER
    M81000        TRICHOEPITELIOM UNS
    M81100        PILOMATRIXOM MALHERBE
    M81200        ÖVERGÅNGSEPIT PAPILLOM T 23
    M81201        UROEPITHEL CA MISST/PAPILLOM
    M81202        UROEPITEL CA CIS
    M81203        UROEPITEL CA
    M81206        METASTAS UROEPIT CA
    M81211        UROEP PAPILLOM INVERT
    M81233        BASALOID CANCER
    M81243        KLOAKOGEN CA
    M81246        METASTAS KLOAGOGEN CANCER
    M81400        ADENOM UNS
    M81401        ADENOCA MISST
    M81402        ADENOCARCINOMA  IN SITU (AIS)
    M81403        ADENOCA
    M81404        ADENOCARCINOM, ÖVERVÄXT
    M81406        METASTAS ADENOCA
    M81407        RECIDIV AV ADENOCARCINOM
    M81409        ADENOCA PRIMÄR?
    M81423        LINITIS PLASTICA
    M81443        ADENOCA INTEST TYP
    M81453        ADENOCA DIFFUS TYP
    M81460        ADENOM MONOMORFT
    M81470        ADENOM BASALCELLS
    M81473        BASALCELLSADENOCARCINOM
    M81500        Ö-CELLSTUMÖR BENIGN
    M81501        Ö-CELLSTUMÖR MAL MISST
    M81503        Ö-CELLSTUMÖR MALIGN
    M81506        METASTAS MALIGN Ö-CELLSTUMÖR
    M81531        GASTRINOM UNS
    M81533        GASTRINOM MALIGNT
    M81536        METASTAS MALIGNT GASTRINOM
    M81543        BLANDAD ENDO/EXOKRIN CA
    M81546        METASTAS ENDO/EXOKRIN CANCER
    M81600        CHOLANGIOM
    M81601        CHOLANGIOLÄR CA MISST
    M81603        CHOLANGIOLÄR CA
    M81606        METASTAS CHOLANGIOLÄR CANCER
    M81609        CHOLANGIOLÄR CA, PRIMÄR?
    M81700        HEPATOCELLULÄRT ADENOM
    M81701        HEPATOCELLULÄR CA MISST
    M81703        HEPATOCELLULÄR CA
    M81706        METASTAS HEPATOCELLULÄR CA
    M81709        HEPATOCELLULÄR CANCER, PRIMÄR?
    M81803        BLANDAD HEPATO-CHOLANG CA
    M81806        METASTAS HEPATO/CHOLANG CANCER
    M82000        ECCRINT DERMALT CYLINDROM
    M82001        ADENOIDCYSTISK CA MISST
    M82003        ADENOIDCYSTISK CA
    M82006        METASTAS ADENOIDCYSTIK CANCER
    M82100        ADENOM TUBULÄRT (ADENOMATÖS POLYP)
    M82101        ADENOCA EX TUBUL ADENOM MISST
    M82102        ADENOCA CIS EX TUBUL ADENOM
    M82103        ADENOCA EX TUBUL ADENOM
    M82111        ADENOCA TUBULÄRT MISST
    M82113        ADENOCA TUBULÄRT
    M82116        METASTAS ADENOCA. TUBULÄR
    M82200        POLYPOSIS COLI FAMILJÄR
    M82401        CARCINOID UNS
    M82403        CARCINOID MALIGN
    M82406        METASTAS CARCINOID
    M82409        CARCINOID MALIGN PRIMÄR?
    M82501        BRONCHIOLOALVEOLÄR CA MISST
    M82503        BRONCHIOLOALVEOLÄR CA
    M82506        METASTAS BRONCHIOLALVEROLÄR CANCER
    M82601        PAPILLÄRT ADENOCA MISST
    M82602        PAPILLÄR CANCER IN SITU
    M82603        PAPILLÄRT ADENOCA
    M82605        CARCINOM, PAPILLÄRT OCCULT + AVKAPSLADE
    M82606        METASTAS PAPILLÄRT ADENOCA
    M82609        PAPPILÄRT ADENO CA PRIMÄR?
    M82611        ADENOM VILLÖST
    M82612        ADENOCA CIS EX VILLÖST ADENOM
    M82613        ADENOCA EX VILLÖST ADENOM
    M82623        ADENOCA VILLÖST
    M82626        METASTAS VILLÖST ADENOCARCINOM
    M82630        ADENOM TUBULOVILLÖST
    M82631        ADENOCA EX TUBULOVILL ADENOM MISST
    M82632        ADENOCA CIS EX TUBULOVILL ADENOM
    M82633        ADENOCA EX TUBULOVILL ADENOM
    M82900        ADENOM OXYFILT
    M82901        ADENOCA OXYFILT MISST
    M82903        ADENOCA OXYFILT
    M82906        METASTAS OXIFILT ADENOCARCINOM
    M83100        KLARCELLS ADENOM
    M83103        KLARCELLSCA
    M83104        KLARCELLIG CANCER, ÖVERVÄXT
    M83106        METASTAS KLARCELLS CANCER
    M83109        KLARCELLSCANCER TVEKS PRIMÄR EL SEKUNDÄR
    M83121        NJURCA MISST
    M83123        NJURCA
    M83126        METASTAS NJURCA
    M83129        NJURCANCER, PRIMÄR?
    M83173        CHROMOFOBT RENALCELLSCARCINOM
    M83210        ADENOM HUVUDCELLER
    M83220        ADENOM VATTENKLARA CELLER
    M83230        ADENOM BLANDAD CELLTYP
    M83240        LIPO-ADENOM
    M83300        FOLLIKULÄRT ADENOM
    M83301        FOLLIKULÄRT ADENOM BORDERLINE
    M83303        FOLLIKULÄRT ADENOCA
    M83305        CA FOLLIKUL AVKAPS ANGIOINVASIVT
    M83306        METASTAS FOLLIKULÄRT ADENOCA
    M83700        BARKADENOM
    M83703        BINJUREBARKCA
    M83706        METASTAS BARK CANCER
    M83800        ENDOMETROID ADENOM
    M83801        ENDOMETROID CA MISST
    M83803        ENDOMETROID CA
    M83806        METASTAS ENDOMETROID CANCER
    M83900        HUDADNEX TUMÖR BENIGN
    M83901        HUDADNEX TUMÖR MALMISST
    M83903        HUDADNEX TUMÖR MALIGN
    M83906        METASTAS MALIGN HUDADNEX TUMÖR
    M83953        MERKEL CELL TUMÖR
    M83956        METASTAS MERKELCELLSTUMÖR
    M84000        SVETTKÖRTELTUMÖR BENIGN
    M84001        SVETTKÖRTELTUMÖR MAL MISST
    M84003        SVETTKÖRTELTUMÖR MALIGN
    M84006        METASTAS MALIGN SVETTKÖRTEL TUMÖR
    M84020        ECCRINT ACROSPIROM
    M84030        ECCRINT SPIRADENOM
    M84040        HIDROCYSTOMA
    M84050        PAPILLÄRT HIDRADENOM
    M84060        PAPILLÄRT SYRINGADENOM
    M84070        SYRINGOM
    M84100        TALGKÖRTELTUMÖR BENIGN
    M84101        TALGKÖRTELTUMÖR MAL MISST
    M84103        TALGKÖRTELTUMÖR MALIGN
    M84106        METASTAS MALIGN TALGKÖRTEL TUMÖR
    M84200        VAXKÖRTEL TUMÖR BENIGN
    M84201        VAXKÖRTEL TUMÖR MALMISST
    M84203        VAXKÖRTEL TUMÖR MALIGN
    M84206        METASTAS MALIGN VAXKÖRTEL TUMÖR
    M84301        MUCOEPIDERMOID CA MISST
    M84303        MUCOEPIDERMOID CA
    M84306        METASTAS MUCOEPIDERMOID CANCER
    M84400        CYSTADENOM
    M84401        CYSTADENOCA MISST
    M84403        CYSTADENOCA
    M84406        METASTAS CYSTADENOCARCINOM
    M84600        SERÖST PAPILLÄRT CYSTADENOM
    M84601        SERÖST PAPILL CYSTADENOCA MISST
    M84603        SERÖST PAPILL CYSTADENOCA
    M84606        METASTAS SERÖST PAPILLÄRT CYSTADENO
    M84609        SERÖST PAPILLÄRT CYSTADENOCA, PRIMÄRT?
    M84610        YTPAPILLOM
    M84700        MUCINÖST CYSTADENOM
    M84701        MUCINÖST CYSTADENOCA MISST
    M84703        MUCINÖST CYSTADENOCA
    M84706        METASTAS MUCINÖST CYSTADENOCARCINOM
    M84802        SLEMBILD CIS
    M84803        SLEMBILD CA
    M84806        METASTAS SLEMBILD CA
    M84809        SLEMBILDANDE CA, PRIMÄR?
    M84813        MUCUS PROD ADENOPAPILL CA
    M84816        METASTAS MUCUS PROD ADENOPAPILL CA
    M84903        SIGNETRINGSCA
    M84906        METASTAS SIGNETRINGS CA
    M85001        DUCTAL EPIT PROL MAL MISST
    M85002        DUCTAL CA CIS
    M85003        DUCTAL CA
    M85006        METASTAS DUCTAL CA
    M85009        DUCTAL CA PRIMÄR?
    M85012        COMEDOCANCER IN SITU
    M85013        COMEDOCANCER (INFILTRERANDE)
    M85015        COMEDOCANCER IN SITU
    M85016        METASTAS COMEDOCANCER
    M85030        INTRADUCT PAPILLOM
    M85040        INTRACYST PAPILLOM
    M85060        ADENOMA OF THE NIPPLE
    M85103        MEDULLÄR CA C-CELL
    M85106        METASTAS MEDULLÄR CANCER C-CELL
    M85123        MEDULLÄR CA M LYMF INF
    M85126        METASTAS MEDULL CA M LYMF INF
    M85201        LOBULÄR CANCER, MISSTÄNKT
    M85202        LOBULÄR CA CIS
    M85203        LOBULÄR CA
    M85206        METASTAS LOBULÄR CA
    M85207        RECIDIV LOBULÄR CA
    M85253        PLGA - spottkörteltumör
    M85403        PAGETS MAMILLSJD
    M85423        PAGETS SJD EXTRA MAM
    M85501        ACINIC CELL CA MISST
    M85503        ACINIC CELL CA
    M85506        METASTAS ACINIC CELL CA
    M85603        ADENOSQUAMÖS CA
    M85604        ADENOSKVAMÖS CANCER, ÖVERVÄXT
    M85606        METASTAS ADENOSQUMAMÖS CA
    M85610        ADENOLYMFOM
    M85623        EPITELIALT - MYOEPITELIALT CARCINOM
    M85703        ADENOACANTHOM
    M85800        THYMOM
    M85801        THYMOM TVEKSAM MAL
    M85803        THYMOM MALIGNT
    M85806        METASTAS MALIGNT THYMON
    M85901        GONADAL STROMA TUMÖR
    M86000        THEKOM
    M86201        GRANULOSACELLSTUMÖR
    M86203        GRANULOSACELLSCA
    M86206        METASTAS GRANULOSACELLS CA
    M86301        ANDROBLASTOM
    M86306        METASTAS ANDROBLASTOM
    M86321        GYNANDROBLASTOM
    M86326        METASTAS GYNANDROBLASTOM
    M86501        INTERSTITIELL CELLTUMÖR
    M86506        METASTAS INTERSTITIELL CELLTUMÖR
    M86701        LIPOIDCELLSTUMÖR
    M86706        METASTAS LIPOIDCELLSTUMÖR
    M86801        PARAGANGLIOM UNS
    M86803        PARAGANGLIOM MALIGN
    M86806        METASTAS MALIGNT PARAGANGLIOM
    M86931        CHEMODECTOM
    M86936        METASTAS CHEMODECTOM
    M87000        PHEOCHROMOCYTOM UNS
    M87003        PHEOCHROMOCYTOM MALIGNT
    M87006        METASTAS MALIGNT PHEOCHROMOCYTOM
    M87110        GLOMUSTUMÖR/GLOMANGIOM
    M87200        PIGMENTNEVUS
    M87201        DYSPLASTISKT NAEVUS
    M87202        MELANOMA IN SITU
    M87203        MALIGNT MELANOM
    M87206        METASTAS MALIGNT MELANOM
    M87213        MALIGNT MELANOM, NODULÄRT
    M87216        METASTAS MALIGNT MELANOM, NODULÄRT
    M87230        HALONAEVUS
    M87400        JUNCTIONNAEVUS
    M87412        PRECANCERÖS MELANOS
    M87413        LENTIGO MALIGNA MELANOM
    M87422        LENTIGO MALIGNA
    M87423        MALIGNT MELANOM, LENTIGINÖST
    M87433        MALIGNT MELANOM, SSM
    M87436        METASTAS MALIGNT MELANOM, SSM
    M87500        INTRADERMALT NAEVUS
    M87600        SAMMANSATT PIGMENTNAEVUS
    M87700        JUVENILT MELANOM
    M87701        SPITZNAEVUS, ATYPISK
    M87800        BLÅ NEVUS
    M87801        BLÅ NEVUS MISST MALIGNT
    M87803        BLÅ NEVUS MALIGNT
    M88000        MESENKYMAL TUMOR BENIGN
    M88001        MESENCHYMAL TUMÖR UNS/BORDERLINEMAL.
    M88003        SARKOM
    M88006        METSTAS SARKOM
    M88013        SARKOM SPOLCELLS
    M88016        METASTAS SPOLCELLS SARKOM
    M88023        SARKOM JÄTTECELLS
    M88026        METASTAS JÄTTE CELLS SARKOM
    M88033        SARKOM RUNDCELLS
    M88036        METASTAS RUNDCELLS SARKOM
    M88043        SARKOM EPITELOIDCELLS
    M88046        METASTAS EPITELOID CELLS SARKOM
    M88100        FIBROM
    M88101        FIBROSARKOM MISST
    M88103        FIBROSARKOM
    M88106        METASTAS FIBRO SARKOM
    M88110        MYXOFIBROM
    M88113        MYXOFIBROSARKOM
    M88116        METASTAS MYXOFIBROSARKOM
    M88143        FIBROSARKOM INFANTILT
    M88146        METASTAS INFANTILT FIBROSARKOM
    M88200        ELASTOFIBROM
    M88211        AGGRESSIV FIBROMATOS
    M88221        ABDOMINELL DESMOID
    M88231        FIBROM DESMOPLASTISKT
    M88300        FIBRÖST HISTIOCYTOM
    M88301        FIBRÖST HISTIOCYTOM ATYPISKT
    M88303        FIBRÖST HISTIOCYTOM MALIGNT
    M88306        METASTAS MALIGNT FIBRÖST HISTIOCYTOM
    M88309        FIBRÖST HISTIOCYTOM MALIGNT, PRIMÄRT
    M88320        DERMATOFIBROM
    M88321        DERMATOFIBROMA PROTUB
    M88323        DERMATOFIBROSARKOMA PROTUB
    M88326        METASTAS DERMATOFIBROSARKOMA PROTUB
    M88400        MYXOMA
    M88401        MYXOSARKOMA MISST
    M88403        MYXOSARKOMA
    M88406        METASTAS MYXOSARKOM
    M88500        LIPOM
    M88501        LIPOSARKOM MISST
    M88503        LIPOSARKOM
    M88506        METASTAS LIPOSARKOM
    M88510        FIBROMA MOLLE
    M88520        LIPOM MYXOID
    M88523        LIPOSARKOM MYXOID
    M88526        METASTAS MYXOIT LIPOSARKOM
    M88533        LIPOSARKOM RUNDCELLS
    M88536        METASTAS RUNDCELLS LIPOSARKOM
    M88543        LIPOSARKOM PLEOMORFT
    M88546        METASTAS PLEOMORFT LIPOSARKOM
    M88553        LIPOSARKOM BLANDAT
    M88556        METASTAS BLANDAT LIPOSARKOM
    M88570        SPOLCELLSLIPOM
    M88600        ANGIOMYOLIPOM
    M88610        ANGIOLIPOM
    M88700        MYELOLIPOM
    M88800        HIBERNOM
    M88810        LIPOBLASTOM
    M88900        LEIOMYOM
    M88901        LEIOMYOM.TUMÖR TVEKSAM MAL./LEIOMYOMATOS
    M88903        LEIOMYOSARCOM
    M88906        METASTAS LEIOMYOSARKOM
    M88911        LEIOMYOM EPITELOIDCELLS
    M88913        LEIOMYOSARKOM EPITELOIDCELLS
    M88916        METASTAS EPITELOIDCELLS LEIOMYOSARKOM
    M88921        LEIOMYOM, CELLRIKT, MITOSRIKT
    M88940        ANGIOLEIOMYOM
    M88953        MYOSARKOM
    M88956        METASTAS MYOSARKOM
    M89000        RHABDOMYOM UNS
    M89001        RHABDOMYOSARKOM MISST
    M89003        RHABDOMYOSARKOM UNS
    M89006        METASTAS RHABDOMYOSARKOM
    M89013        RHABDOMYOSARKOM PLEOMORFT
    M89016        METASTAS PLEOMORFT RHABDOMYOSARKOM
    M89030        RHABDOMYOM FETALT
    M89040        RHABDOMYOM ADULT
    M89103        RHABDOMYOSARKOM EMBRYONALT
    M89106        METASTAS EMBRYONALT RHABDOMYOSARKOM
    M89203        RHABDOMYOSARKOM ALVEOLÄRT
    M89206        METASTAS ELVEOLÄRT RHABDOMYOSARKOM
    M89301        STROMASARCOM, MISSTÄNKT
    M89303        STROMASARKOM
    M89306        METASTAS STROMASARKOM
    M89311        STROMATOS
    M89320        ADENOMYOM
    M89361        GIST UNS
    M89400        PLEOMORFT ADENOM
    M89401        CA EX PLEOMORFT ADENOM MISST
    M89403        CA EX PLEOMORFT ADENOM
    M89406        METASTAS CA EX PLEOMORFT ADENOM
    M89513        MESODERMAL BLANDSVULST MALIGN
    M89516        METASTAS MALIGN MESODERMAL BLANDSVULST
    M89603        NEFROBLASTOM
    M89606        METASTAS NEFROBLASTOM
    M89703        HEPATOBLASTOM
    M89706        METASTAS HEPATOBLASTOM
    M89803        CARCINOSARKOM
    M89806        METASTAS CARCINOSARKOM
    M89813        CARCINOSARKOM EMBRYONALT
    M89816        METASTAS EMBRYONALT CARCINOSARKOM
    M89820        MYOEPITELIOM
    M89823        MALIGNT MYOEPITELIOM
    M89826        METASTAS MALIGNT MYOEPITELIOM
    M90000        BRENNER TUMÖR
    M90001        BRENNER TUMÖR MAL MISST
    M90003        BRENNER TUMÖR MALIGN
    M90006        METASTAS MALIGN BRENNER TUMÖR
    M90100        FIBROADENOM
    M90130        CYSTADENOFIBROM
    M90140        SERÖST CYSTADENOFIBROM
    M90150        MUCINÖST CYSTADENOFIBROM
    M90200        GIANT FIBROADENOMA
    M90201        SARKOM EX GIANT FIBROAD MISST
    M90203        SARKOM EX GIANT FIBROAD
    M90206        METASTAS SARKOM EX GIANT FIBROAD
    M90400        SYNOVIOM BENIGNT
    M90401        SYNOVIALT SARKOM MISST
    M90403        SYNOVIALT SARKOM
    M90406        METASTAS SNOVILAT SARKOM
    M90443        CLEAR CELL SARCOMA OF TENDONS
    M90446        METASTAS CLEAR CELLS SARKOMA OF TENDONS
    M90500        MESOTELIOM, BENIGNT
    M90501        MESOTELIOM MISST
    M90503        MESOTELIOM
    M90506        METASTAS MESOTHELIOM
    M90540        ADENOMATOID TUMÖR
    M90603        DYSGERMINOM
    M90606        METASTAS DYSGERMINOM
    M90613        SEMINOM
    M90616        METASTAS SEMINOM
    M90633        SPERMATOCYT SEMINOM
    M90636        METASTAS SPERMATOCYT SEMINOM
    M90713        ENDODERMAL SINUSTUMÖR T 87
    M90716        METASTAS ENDODERMAL SINUSTUMÖR
    M90731        GONADOBLASTOM
    M90736        METASTAS GONADOBLASTOM
    M90800        TERATOM BENIGNT
    M90801        TERATOM DIFF TD T-78
    M90803        TERATOM MALIGNT
    M90806        METASTAS MALIGNT TERATOM
    M90823        MALIGNT TERATOM ODIFF MTU T-78
    M90826        METASTAS MALIGNT TERATOM MTU
    M90833        MALIGNT TERATOM INTERMED MTI T-78
    M90836        METASTAS MALINGT TERATOM MTI
    M90900        STRUMA OVARII
    M91000        HYDATIDIFORM MOLA T 88
    M91001        MOLA DESTRUENS T 88
    M91003        CHORIOCA EJ T 78
    M91006        METASTAS CHORIOCA
    M91023        MALIGNT TERATOM TROFOBL MTT T-78
    M91026        METASTAS MALIGNT TERATOM MTT
    M91200        HEMANGIOM/ANGIOM UNS
    M91201        HEMANGIO/ANGIO SARKOM MISST
    M91203        HEMANGIO/ANGIOSARKOM UNS
    M91206        METASTAS HEMANGIOSARKOM
    M91210        HEMANGIOM KAVERNÖST
    M91220        HEMANGIOM VENÖST
    M91230        HEMANGIOM ARTERIOVENÖST
    M91301        HEMANGIOENDOTELIOM
    M91303        HEMANGIOENDOTELIOM MALIGNT
    M91306        METASTAS MALIGNT HEMANGIOENDOTELIOM
    M91310        HEMANGIOM KAPILLÄRT
    M91401        KAPOSI'S SARKOM MISST
    M91403        KAPOSI'S SARKOM
    M91406        METASTAS KAPOSI'S SARKOM
    M91410        ANGIOKERATOM
    M91500        HEMANGIOPERICYTOM, BENIGNT
    M91501        HEMANGIOPERICYTOM UNS
    M91503        HEMANGIOPERICYTOM MALIGNT
    M91506        METASTAS MALINGT HEMANGIOPERICYTOM
    M91600        ANGIOFIBROM
    M91611        HEMANGIOBLASTOM
    M91700        LYMFANGIOM
    M91701        LYMFANGIOSARKOM MISST
    M91703        LYMFANGIOSARKOM
    M91706        METASTAS LYMFANGIOSARKOM
    M91730        HYGROM
    M91741        LYMFANGIOMYOMATOS
    M91800        OSTEOM
    M91801        OSTEOSARKOM MISST
    M91803        OSTEOSARKOM
    M91806        METASTAS OSTEOSARKOM
    M91903        OSTEOSARKOM JUXTACORTICALT
    M91906        METASTAS JUXTACORTICALT OSTEOSARKOM
    M91910        OSTEOID OSTEOM
    M92000        OSTEOBLASTOM
    M92100        OSTEOCHONDROM
    M92101        OSTEOCHONDROMATOS
    M92200        CHONDROM UNS
    M92201        CHONDROMATOS UNS
    M92203        CHONDROSARKOM UNS
    M92206        METASTAS CHONDROSARKOM
    M92210        CHONDROM JUXTACORTICALT
    M92211        CHONDROSARKOM JUXTACORTICALT MISST
    M92213        CHONDROSARKOM JUXTACORTICALT
    M92216        METASTAS JUXTACORTICALT CHONDROSARKM
    M92300        CHONDROBLASTOM
    M92403        CHONDROSARKOM MESENKYMALT
    M92406        METASTAS MESENKYMALT CHONDROSARKOM
    M92410        CHONDROMYXOIDFIBROM
    M92501        JÄTTECELLSTUMÖR BEN
    M92511        JÄTTECELLSTUMÖR MJUKDEL
    M92601        EWINGS SARKOM MISSTANKE
    M92603        EWINGS SARKOM
    M92606        METASTAS EWINGS SARKOM
    M92613        ADAMANTINOM LÅNGA BEN
    M92616        METASTAS ADAMANTINOM
    M92620        FIBROM OSSIFIERANDE
    M92700        ODONTOGEN TUMOR BENIGN
    M92701        ODONTOGEN TUMOR MAL MISST
    M92703        ODONTOGEN TUMOR MALIGN
    M92706        METASTAS MALIGN ODONTOGEN TUMÖR
    M93100        AMELOBLASTOMA, NOS
    M93103        AMELOBLASTOMA, MALIGNT
    M93500        FRI TEXT
    M93501        CRANIOPHARYNGIOM
    M93601        PINEALOM UNS
    M93603        PINEALOM MALIGNT
    M93606        METASTAS MALIGNT PINEALOM
    M93703        CHORDOM
    M93706        METASTAS CHORDOM
    M93803        MALIGNT GLIOM UNS
    M93823        OLIGOASTROCYTOM (BLANDAT)
    M93831        SUBEPENDYMOM
    M93901        PLEXUS CHOROID PAPILL UNS
    M93903        PLEXUS CHOROID PAPILL MALIGNT
    M93913        EPENDYMOM
    M93923        EPENDYMOM ANAPLASTISKT
    M94003        ASTROCYTOM
    M94213        JUVENILT ASTROCYTOM
    M94403        GLIOBLASTOMA MULTIFORME
    M94413        JÄTTE CELLS GLIOBLASTOM
    M94423        GLIOBLASTOM M SARKOMKOMPONENT
    M94433        PRIM POLÄRT SPONGIOBLASTOM
    M94503        OLIGODENDROGLIOM
    M94513        OLIGODENDROGLIOM ANAPLASTISKT
    M94703        MEDULLOBLASTOM
    M94900        GANGLIONEUROM
